molecule_id,smiles,type,units,value,molecular_weight,pIC50
CHEMBL227615,O=C([C@@H]1C[C@H](N2Cc3ccccc3C2)CN1)N1CCSC1,IC50,nM,26.4,303.43100000000004,7.578396073130169
CHEMBL227670,COc1ccc2nc(N3CCC[C@@H](N)C3)n(Cc3ccccc3C#N)c(=O)c2c1,IC50,nM,8.0,389.45900000000006,8.096910013008056
CHEMBL227676,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2ccc(Br)cc2c1=O,IC50,nM,5.0,438.32900000000006,8.301029995663981
CHEMBL227737,CN(Cc1ccc(C#N)cc1)[C@@H]1CN[C@H](C(=O)N2CCSC2)C1,IC50,nM,9.6,330.45700000000016,8.017728766960431
CHEMBL227800,CC(C)N(Cc1ccc(C#N)cc1)[C@@H]1CN[C@H](C(=O)N2CCSC2)C1,IC50,nM,7.1,358.5110000000002,8.148741651280925
CHEMBL227867,O=C(O[C@@H]1CN[C@H](C(=O)N2CCSC2)C1)c1ccccc1,IC50,nM,300.0,306.38699999999994,6.522878745280337
CHEMBL227954,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2ccccc2c1=O,IC50,nM,13.0,359.43300000000005,7.886056647693163
CHEMBL228004,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2cc(Cl)ccc2c1=O,IC50,nM,15.0,393.87800000000004,7.823908740944319
CHEMBL228021,N#Cc1ccc(CN(Cc2ccc(C#N)cc2)[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)cc1,IC50,nM,6.4,431.5650000000002,8.193820026016112
CHEMBL228032,N#Cc1ccc(CN(C(=O)c2ccc(C#N)cc2)[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)cc1,IC50,nM,228.0,445.5480000000003,6.642065152999546
CHEMBL228243,N#Cc1ccc(CN(CC(N)=O)[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)cc1,IC50,nM,13.9,373.4820000000002,7.856985199745905
CHEMBL228311,N[C@H]1CN(c2ccc3nnc(C(F)(F)F)n3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,9.0,530.3510000000002,8.045757490560675
CHEMBL228312,N[C@H]1CN(c2ccc3nnc(-c4ccc(F)cc4)n3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,16.0,556.4420000000003,7.795880017344075
CHEMBL2298396,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12C[C@H]3C[C@@H](C1)C[C@](O)(C3)C2,IC50,nM,23.0,315.4170000000001,7.638272163982407
CHEMBL230095,C=COCC(=O)N1CCN(C(=O)C[C@H](N)Cc2ccccc2F)CC1,IC50,nM,2209.0,349.40600000000006,5.655804284128565
CHEMBL230282,C[C@@H]1C(=O)N(C2CC2)CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,IC50,nM,8.0,383.414,8.096910013008056
CHEMBL230283,C[C@@H]1C(=O)N(C(C)(C)C)CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,IC50,nM,9.6,399.45700000000005,8.017728766960431
CHEMBL230340,N[C@H]1CN(c2ccccn2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,58.0,421.341,7.236572006437063
CHEMBL230341,N[C@H]1CN(c2cccnc2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,144.0,421.341,6.841637507904751
CHEMBL230342,N[C@H]1CN(c2cccc(C(F)(F)F)n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,111.0,489.338,6.954677021213342
CHEMBL230387,C[C@H]1CNC(=O)[C@@H](C)N(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C1,IC50,nM,9.7,357.37600000000003,8.013228265733755
CHEMBL230388,CC[C@@H]1C(=O)NC[C@H](C)CN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,IC50,nM,37.3,371.40299999999996,7.428291168191312
CHEMBL230389,C[C@H]1CNC(=O)[C@@H](CC(F)(F)F)N(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C1,IC50,nM,24.6,425.3730000000001,7.609064892896621
